County,Competitor_Rating,Meijer_Rating,Meijer_Feedback_Useful,Meijer_Sentiment_Score,Meijer_Total_Review_Count,Meijer_Positive_Sentiment_Count,Meijer_Negative_Sentiment_Count
Alcona,3.76,,,,,,
Alger,4.3,,,,,,
Allegan,3.58,,,,,,
Alpena,4.42,4.89,11.0,-1.0,9.0,4.0,5.0
Antrim,3.56,,,,,,
Arenac,3.39,,,,,,
Baraga,3.8,,,,,,
Barry,3.81,,,,,,
Bay,3.65,3.0,5.0,-3.0,17.0,5.0,8.0
Benzie,3.75,,,,,,
Berrien,3.63,,,,,,
Branch,3.0,4.5,4.0,2.0,2.0,2.0,0.0
Calhoun,3.73,3.2,21.0,-2.0,20.0,6.0,8.0
Cass,3.37,,,,,,
Charlevoix,3.74,,,,,,
Chippewa,3.92,,,,,,
Clare,3.33,,,,,,
Clinton,4.13,,,,,,
Crawford,3.65,,,,,,
Delta,4.65,2.11,9.0,-5.0,9.0,1.0,6.0
Dickinson,4.3,,,,,,
Eaton,3.85,2.88,9.0,3.0,8.0,4.0,1.0
Emmet,3.46,,,,,,
Genesee,4.12,2.72,34.0,-6.0,40.0,13.0,19.0
Gogebic,3.67,,,,,,
Grand Traverse,3.93,,,,,,
Hillsdale,2.61,,,,,,
Houghton,3.8,,,,,,
Ingham,3.94,2.3,16.0,-1.0,10.0,3.0,4.0
Iosco,3.71,,,,,,
Jackson,3.67,2.37,20.0,-9.0,19.0,2.0,11.0
Kalamazoo,3.45,2.28,67.0,-5.0,40.0,9.0,14.0
Kalkaska,3.65,,,,,,
Lake,4.18,,,,,,
Luce,4.3,,,,,,
Mackinac,3.78,,,,,,
Macomb,4.02,2.02,119.0,-21.0,70.0,11.0,32.0
Missaukee,3.55,,,,,,
Montcalm,3.83,2.3,8.0,-3.0,10.0,1.0,4.0
Montmorency,3.69,,,,,,
Newaygo,4.08,4.0,1.0,1.0,5.0,3.0,2.0
Oakland,3.72,2.35,70.0,-18.0,80.0,17.0,35.0
Ogemaw,3.58,,,,,,
Osceola,3.56,,,,,,
Oscoda,3.95,,,,,,
Presque Isle,4.02,,,,,,
Roscommon,3.61,,,,,,
Washtenaw,3.5,2.0,19.0,-4.0,20.0,2.0,6.0
Wayne,4.04,2.42,143.0,-30.0,100.0,22.0,52.0
Wexford,3.93,4.3,4.0,2.0,10.0,6.0,4.0
Huron,,3.17,6.0,-1.0,6.0,2.0,3.0
Ionia,,3.83,0.0,4.0,6.0,4.0,0.0
Kent,,2.56,92.0,-15.0,115.0,30.0,45.0
Lenawee,,3.33,5.0,2.0,6.0,4.0,2.0
Livingston,,2.13,16.0,-3.0,30.0,6.0,9.0
Marquette,,4.22,2.0,1.0,9.0,5.0,4.0
Mason,,2.9,26.0,-6.0,10.0,1.0,7.0
Mecosta,,2.7,1.0,-5.0,10.0,1.0,6.0
Muskegon,,2.65,12.0,-3.0,30.0,8.0,11.0
Otsego,,3.8,9.0,-2.0,5.0,1.0,3.0
Ottawa,,2.7,37.0,-8.0,56.0,16.0,24.0
Shiawassee,,2.33,1.0,-3.0,3.0,0.0,3.0
St. Clair,,3.0,21.0,-2.0,10.0,3.0,5.0
