name,address,latitude,longitude,county,grocery stores 1 mile,food outlets 1 mile,tourist destinations 1 mile,hotels 1 mile,educational institutions 1 mile,hospitals 1 mile,airports 1 mile,residential housing density 1 mile,commercial housing density 1 mile,fuel stations & car wash 1 mile,apparels 1 mile,height restrictor 1 mile,border zone,public transportation 1 mile,competitor_rating,meijer_rating,meijer_feedback_useful,meijer_sentiment_score,meijer_total_review_count,meijer_positive_sentiment_count,meijer_negative_sentiment_count
Kum & Go,"4800 44th St SW, Grandville, MI 49418, United States",42.8845946,-85.7813442,Kent,0,5,0,0,0,0,0,12,8,0,0,0,0,0,,2.56,92.0,-15.0,115.0,30.0,45.0
Kum & Go,"5437 Division Ave S, Wyoming, MI 49548, United States",42.8654298,-85.6646825,Kent,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,2.56,92.0,-15.0,115.0,30.0,45.0
Kum & Go,"4560 Chicago Dr SW, Grandville, MI 49418, United States",42.9050832,-85.7763133,Kent,0,6,0,1,1,0,0,43,17,0,0,0,0,0,,2.56,92.0,-15.0,115.0,30.0,45.0
Kum & Go,"2134 Alpine Ave NW, Walker, MI 49544, United States",43.0022577,-85.6881794,Kent,0,3,0,0,0,0,0,7,5,0,0,0,0,0,,2.56,92.0,-15.0,115.0,30.0,45.0
Kum & Go,"5215 Kalamazoo Ave SE, Kentwood, MI 49508, United States",42.8688229,-85.6257608,Kent,0,1,0,0,0,0,0,6,0,0,0,0,0,0,,2.56,92.0,-15.0,115.0,30.0,45.0
Casey's,"3781 M-140, Watervliet, MI 49098, United States",42.1801769,-86.2608687,Berrien,0,0,0,0,1,1,1,0,0,0,0,0,0,0,3.63,,,,,,
Casey's,"10299 Red Arrow Hwy, Bridgman, MI 49106, United States",41.9315417,-86.5696761,Berrien,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.63,,,,,,
Casey's,"714 Portage Street, Kalamazoo, MI 49001, United States",42.2845555,-85.5747042,Kalamazoo,0,19,2,0,2,2,1,4,26,0,0,0,0,0,3.45,2.28,67.0,-5.0,40.0,9.0,14.0
Casey's,"112 S State St, Freeport, MI 49325, United States",42.7660971,-85.3165607,Barry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.81,,,,,,
Casey's,"10777 Karlin Rd, Buckley, MI 49620, United States",44.5294285,-85.7569481,Grand Traverse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.93,,,,,,
Casey's,"136 N Whittaker St, New Buffalo, MI 49117, United States",41.7958389,-86.7453501,Berrien,0,12,0,0,2,0,0,76,2,0,0,0,0,0,3.63,,,,,,
Casey's,"888 S Hill Island Rd, Cedarville, MI 49719, United States",45.9892644,-84.3247284,Mackinac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.78,,,,,,
Casey's,"711 Saginaw Rd, Sanford, MI 48657, United States",43.6645948,-84.3404434,Midland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Casey's,"816 18th St N, Escanaba, MI 49829, United States",45.7551341,-87.0730294,Delta,0,18,0,0,0,0,0,156,11,0,0,0,0,0,4.65,2.11,9.0,-5.0,9.0,1.0,6.0
Casey's,"628 Huron Ave, Port Huron, MI 48060, United States",42.9811641,-82.4240239,St. Clair,0,9,0,0,1,1,2,0,0,0,0,0,0,0,,3.0,21.0,-2.0,10.0,3.0,5.0
Casey's,"1003 E West Maple Rd, Walled Lake, MI 48390, United States",42.5380458,-83.4800663,Oakland,0,3,1,0,1,0,0,1,0,0,0,0,0,0,3.72,2.35,70.0,-18.0,80.0,17.0,35.0
Casey's,"16854 Schofield Rd, Hersey, MI 49639, United States",43.8227816,-85.4223191,Osceola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.56,,,,,,
Casey's,"304 Depot St, Ann Arbor, MI 48104, United States",42.2878595,-83.7443653,Washtenaw,0,90,1,2,6,7,4,174,45,0,0,0,0,0,3.5,2.0,19.0,-4.0,20.0,2.0,6.0
Casey's,"18001 Mt Elliott St, Detroit, MI 48234, United States",42.4267281,-83.0389964,Wayne,0,2,0,0,1,0,0,0,3,0,0,0,0,0,4.04,2.42,143.0,-30.0,100.0,22.0,52.0
Casey's,"14298 Seven Mile E, Detroit, MI 48205, United States",42.4348215,-82.9755327,Wayne,0,4,0,0,1,4,0,7,9,0,0,0,0,0,4.04,2.42,143.0,-30.0,100.0,22.0,52.0
Casey's,"7677 Dix St, Detroit, MI 48209, United States",42.3168596,-83.1270828,Wayne,0,26,0,0,1,0,0,56,2,0,0,0,0,0,4.04,2.42,143.0,-30.0,100.0,22.0,52.0
Casey's,"6630 Edwards Rd, Belleville, MI 48111, United States",42.2553571,-83.4807804,Wayne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.04,2.42,143.0,-30.0,100.0,22.0,52.0
Casey's,"1830 Michigan Ave, Detroit, MI 48216, United States",42.3316961,-83.0711125,Wayne,0,37,1,3,1,1,1,164,76,0,0,0,0,0,4.04,2.42,143.0,-30.0,100.0,22.0,52.0
7-Eleven - Closed,"650 N Ripley Blvd, Alpena, MI 49707, United States",45.0591322,-83.4523628,Alpena,0,12,0,0,0,0,0,43,6,0,0,0,0,0,4.42,4.89,11.0,-1.0,9.0,4.0,5.0
7-Eleven,"8570 Homestead Dr, Zeeland, MI 49464, United States",42.8090372,-85.9942724,Ottawa,0,1,0,0,0,1,1,2,5,0,0,0,0,0,,2.7,37.0,-8.0,56.0,16.0,24.0
7-Eleven,"3726 Mt Olivet Rd, Kalamazoo, MI 49004, United States",42.3275404,-85.5453265,Kalamazoo,0,4,0,0,0,0,0,29,0,0,0,0,0,0,3.45,2.28,67.0,-5.0,40.0,9.0,14.0
7-Eleven,"5980 US-31, Williamsburg, MI 49690, United States",44.7730458,-85.5004254,Grand Traverse,0,4,0,1,0,0,0,27,0,0,0,0,0,0,3.93,,,,,,
7-Eleven,"134 N Center Ave, Gaylord, MI 49735, United States",45.0284967,-84.6733967,Otsego,0,10,0,0,1,1,1,0,3,0,0,0,0,0,,3.8,9.0,-2.0,5.0,1.0,3.0
7-Eleven,"313 S James St, Grayling, MI 49738, United States",44.6576275,-84.7088635,Crawford,0,4,0,0,1,1,1,0,0,0,0,0,0,0,3.65,,,,,,
7-Eleven,"1795 Barlow St, Traverse City, MI 49686, United States",44.733665,-85.6050532,Grand Traverse,0,7,0,0,0,0,2,25,3,0,0,0,0,0,3.93,,,,,,
7-Eleven,"538 W Fourteenth St, Traverse City, MI 49684, United States",44.7520016,-85.6325033,Grand Traverse,0,31,1,0,0,2,1,42,30,0,0,0,0,0,3.93,,,,,,
7-Eleven,"100 Belvedere Ave, Charlevoix, MI 49720, United States",45.3144902,-85.2586169,Charlevoix,0,8,1,0,1,1,1,26,2,0,0,0,0,0,3.74,,,,,,
7-Eleven,"3543 Old Kawkawlin Rd, Bay City, MI 48706, United States",43.637691,-83.9139085,Bay,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3.65,3.0,5.0,-3.0,17.0,5.0,8.0
7-Eleven,"801 N Henry St, Bay City, MI 48706, United States",43.6095609,-83.9002608,Bay,0,15,0,0,1,0,0,0,0,0,0,0,0,0,3.65,3.0,5.0,-3.0,17.0,5.0,8.0
7-Eleven,"101 Woodside Ave, Essexville, MI 48732, United States",43.6091173,-83.8570763,Bay,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.65,3.0,5.0,-3.0,17.0,5.0,8.0
7-Eleven,"4300 Wilder Rd, Bay City, MI 48706, United States",43.6230206,-83.8822369,Bay,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3.65,3.0,5.0,-3.0,17.0,5.0,8.0
