Grocery Stores,Food Outlets,Tourist Destinations,Hotels,Educational Institutions,Hospitals,Airports,Residential Housing Density,Commercial Housing Density,Fuel Stations & Car Wash,Apparels,Height Restrictor,Border Zone,Public Transportation,latitude,longitude,radius_miles
0,34,0,1,2,0,1,159,86,0,0,0,0,0,42.8845946,-85.7813442,3
0,25,0,1,1,4,1,59,9,0,0,0,0,0,42.8654298,-85.6646825,3
0,36,1,1,2,0,2,119,84,0,0,0,0,0,42.9050832,-85.7763133,3
0,88,0,2,5,3,4,72,53,0,0,0,0,0,43.0022577,-85.6881794,3
0,17,0,0,2,0,0,189,10,0,0,0,0,0,42.8688229,-85.6257608,3
0,1,0,0,2,1,3,0,0,0,0,0,0,0,42.1801769,-86.2608687,3
0,0,0,0,1,0,2,0,1,0,0,0,0,0,41.9315417,-86.5696761,3
0,47,2,2,11,3,2,357,57,0,0,0,0,0,42.2845555,-85.5747042,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.7660971,-85.3165607,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.5294285,-85.7569481,3
0,12,0,2,2,0,0,92,2,0,0,0,0,0,41.7958389,-86.7453501,3
0,4,0,0,1,0,0,0,0,0,0,0,0,0,45.9892644,-84.3247284,3
0,4,0,0,0,0,0,4,0,0,0,0,0,0,43.6645948,-84.3404434,3
0,22,1,0,1,1,4,371,20,0,0,0,0,0,45.7551341,-87.0730294,3
0,50,2,1,3,2,5,14,8,0,0,0,0,0,42.9811641,-82.4240239,3
0,29,15,1,2,0,0,46,33,0,0,0,0,0,42.5380458,-83.4800663,3
0,1,0,0,0,0,0,0,0,0,0,0,0,0,43.8227816,-85.4223191,3
0,164,7,5,13,8,4,1947,138,0,0,0,0,0,42.2878595,-83.7443653,3
0,34,1,0,6,4,8,95,45,0,0,1,0,0,42.4267281,-83.0389964,3
0,19,0,1,6,5,8,104,39,0,0,0,0,0,42.4348215,-82.9755327,3
0,95,2,0,5,2,0,264,70,0,0,0,0,0,42.3168596,-83.1270828,3
0,15,0,7,1,0,2,533,12,0,0,0,0,0,42.2553571,-83.4807804,3
0,268,9,12,20,24,3,947,360,0,0,0,0,0,42.3316961,-83.0711125,3
0,25,2,1,1,1,1,88,27,0,0,0,0,0,45.0591322,-83.4523628,3
0,5,0,0,1,1,2,64,17,0,0,0,0,0,42.8090372,-85.9942724,3
0,22,0,0,2,1,3,147,29,0,0,0,0,0,42.3275404,-85.5453265,3
0,10,4,1,0,0,0,50,1,0,0,0,0,0,44.7730458,-85.5004254,3
0,15,0,1,1,1,3,0,4,0,0,0,0,0,45.0284967,-84.6733967,3
0,5,0,0,1,1,3,0,7,0,0,0,0,0,44.6576275,-84.7088635,3
0,82,3,3,4,3,8,161,79,0,0,0,0,0,44.733665,-85.6050532,3
0,86,2,3,3,3,8,219,85,0,0,0,0,0,44.7520016,-85.6325033,3
0,9,1,1,1,1,1,29,10,0,0,0,0,0,45.3144902,-85.2586169,3
0,25,0,0,1,0,0,0,1,0,0,0,0,0,43.637691,-83.9139085,3
0,36,0,0,2,0,1,2,13,0,0,0,0,0,43.6095609,-83.9002608,3
0,33,0,0,2,0,1,3,2,0,0,0,0,0,43.6091173,-83.8570763,3
0,36,0,0,2,0,1,1,3,0,0,0,0,0,43.6230206,-83.8822369,3
0,23,0,0,2,0,5,2,12,0,0,0,0,0,43.5656437,-83.8934035,3
0,0,0,0,0,0,0,0,1,0,0,0,0,0,44.341442,-84.203018,3
0,26,0,0,2,0,3,2,11,0,0,0,0,0,43.5805681,-83.9153659,3
0,35,0,0,2,0,4,4,12,0,0,0,0,0,43.5891638,-83.8758623,3
0,28,0,0,2,0,4,4,12,0,0,0,0,0,43.5797876,-83.8817438,3
0,22,0,1,0,0,1,120,27,0,0,0,0,0,43.605367,-84.1878765,3
0,25,0,1,1,2,0,34,23,0,0,0,0,0,43.5084599,-83.9721525,3
0,22,1,0,1,3,3,20,90,0,0,0,0,0,42.2761622,-84.4540489,3
0,16,0,0,1,0,0,42,19,0,0,0,0,0,42.6399142,-84.5238084,3
0,7,2,3,1,2,3,7,23,0,0,0,0,0,43.8382163,-84.7682301,3
0,22,0,0,2,1,2,77,27,0,0,0,0,0,42.5539698,-82.9109273,3
0,16,0,0,4,2,2,126,15,0,0,0,0,0,42.5722842,-82.9106119,3
0,13,0,0,2,3,3,323,11,0,0,0,0,0,42.5833621,-82.9511407,3
0,14,0,0,3,2,2,28,3,0,0,0,0,0,42.571994,-82.8720305,3
0,31,0,2,3,2,1,355,10,0,0,0,0,0,42.5980628,-82.9714463,3
0,34,0,0,2,1,2,145,27,0,0,0,0,0,42.5547183,-82.9295325,3
0,85,4,3,5,3,1,998,144,0,0,0,0,0,42.73167,-84.4716661,3
0,5,0,0,0,0,2,1,0,0,0,0,0,0,42.8349682,-84.2201346,3
0,82,4,4,4,3,2,964,123,0,0,0,0,0,42.7361267,-84.4824555,3
0,29,0,1,1,2,0,108,106,0,0,0,0,0,42.6833338,-84.4317314,3
0,20,1,0,3,2,0,86,5,0,0,0,0,0,45.373502,-84.9584908,3
0,8,0,1,0,0,0,0,2,0,0,0,0,0,43.2499059,-83.7821562,3
0,7,2,0,1,0,1,8,5,0,0,0,0,0,43.3362512,-83.7387978,3
0,13,0,0,1,0,1,0,7,0,0,0,0,0,42.7508994,-83.3813595,3
0,29,1,0,1,0,9,7,20,0,0,0,0,0,42.6882832,-83.4093006,3
0,21,0,0,2,2,0,1,20,0,0,0,0,0,42.6697444,-83.3008089,3
0,1,1,0,1,0,1,0,4,0,0,0,0,0,42.6559587,-83.6178423,3
0,35,0,2,2,0,2,31,23,0,0,0,0,0,42.678737,-83.251054,3
0,33,0,0,3,2,4,17,39,0,0,0,0,0,43.0216277,-83.7224456,3
0,14,1,0,2,0,1,2,7,0,0,0,0,0,43.042833,-83.635142,3
0,37,0,0,1,2,3,10,37,0,0,0,0,0,43.0179887,-83.751159,3
0,43,0,0,3,2,6,19,33,0,0,0,0,0,42.9879866,-83.7027931,3
