category,tag,latitude,longitude,radius,count,nearest_feature_coords,all_feature_coords
aeroway,helipad,40.425869,-86.908066,500,0,,[]
aeroway,heliport,40.425869,-86.908066,500,0,,[]
aeroway,runway,40.425869,-86.908066,500,0,,[]
aeroway,terminal,40.425869,-86.908066,500,0,,[]
barrier,height_restrictor,40.425869,-86.908066,500,0,,[]
tourism,attraction,40.425869,-86.908066,500,0,,[]
amenity,bar,40.425869,-86.908066,500,3,"(Decimal('40.4240565'), Decimal('-86.9083794'))","[(Decimal('40.4238116'), Decimal('-86.9090675')), (Decimal('40.4240565'), Decimal('-86.9083794')), (Decimal('40.4229100'), Decimal('-86.9080183'))]"
amenity,biergarten,40.425869,-86.908066,500,0,,[]
amenity,cafe,40.425869,-86.908066,500,6,"(Decimal('40.4247994'), Decimal('-86.9081744'))","[(Decimal('40.4240729'), Decimal('-86.9075626')), (Decimal('40.4250047'), Decimal('-86.9115419')), (Decimal('40.4247994'), Decimal('-86.9081744')), (Decimal('40.4228766'), Decimal('-86.9042152')), (Decimal('40.4232409'), Decimal('-86.9081269')), (Decimal('40.4240876'), Decimal('-86.9088820'))]"
amenity,fast_food,40.425869,-86.908066,500,8,"(Decimal('40.4260581'), Decimal('-86.9079485'))","[(Decimal('40.4243487'), Decimal('-86.9081862')), (Decimal('40.4245462'), Decimal('-86.9081711')), (Decimal('40.4243923'), Decimal('-86.9067692')), (Decimal('40.4233720'), Decimal('-86.9081082')), (Decimal('40.4228787'), Decimal('-86.9078649')), (Decimal('40.4250856'), Decimal('-86.9082230')), (Decimal('40.4229721'), Decimal('-86.9066927')), (Decimal('40.4260581'), Decimal('-86.9079485'))]"
amenity,food_court,40.425869,-86.908066,500,0,,[]
amenity,ice_cream,40.425869,-86.908066,500,2,"(Decimal('40.4240567'), Decimal('-86.9084826'))","[(Decimal('40.4240567'), Decimal('-86.9084826')), (Decimal('40.4242501'), Decimal('-86.9067802'))]"
amenity,pub,40.425869,-86.908066,500,0,,[]
amenity,restaurant,40.425869,-86.908066,500,24,"(Decimal('40.4259043'), Decimal('-86.9078939'))","[(Decimal('40.4245509'), Decimal('-86.9084243')), (Decimal('40.4240870'), Decimal('-86.9090249')), (Decimal('40.4227398'), Decimal('-86.9076140')), (Decimal('40.4227606'), Decimal('-86.9076782')), (Decimal('40.4240862'), Decimal('-86.9086727')), (Decimal('40.4240649'), Decimal('-86.9067776')), (Decimal('40.4245325'), Decimal('-86.9067723')), (Decimal('40.4243327'), Decimal('-86.9070808')), (Decimal('40.4246740'), Decimal('-86.9111080')), (Decimal('40.4251958'), Decimal('-86.9113745')), (Decimal('40.4253830'), Decimal('-86.9113724')), (Decimal('40.4252736'), Decimal('-86.9113809')), (Decimal('40.4252857'), Decimal('-86.9114758')), (Decimal('40.4251554'), Decimal('-86.9111581')), (Decimal('40.4253863'), Decimal('-86.9111754')), (Decimal('40.4249552'), Decimal('-86.9113910')), (Decimal('40.4248851'), Decimal('-86.9113895')), (Decimal('40.4249303'), Decimal('-86.9114617')), (Decimal('40.4240741'), Decimal('-86.9078559')), (Decimal('40.4259043'), Decimal('-86.9078939')), (Decimal('40.4228516'), Decimal('-86.9077813')), (Decimal('40.4240542'), Decimal('-86.9071780')), (Decimal('40.4229797'), Decimal('-86.9067740')), (Decimal('40.4229901'), Decimal('-86.9068608'))]"
amenity,college,40.425869,-86.908066,500,0,,[]
amenity,library,40.425869,-86.908066,500,3,"(Decimal('40.4236722'), Decimal('-86.9107713'))","[(Decimal('40.4250476'), Decimal('-86.9131065')), (Decimal('40.4236722'), Decimal('-86.9107713')), (Decimal('40.4275084'), Decimal('-86.9132300'))]"
amenity,school,40.425869,-86.908066,500,0,,[]
amenity,traffic_park,40.425869,-86.908066,500,0,,[]
amenity,university,40.425869,-86.908066,500,0,,[]
amenity,bicycle_parking,40.425869,-86.908066,500,25,"(Decimal('40.4251130'), Decimal('-86.9069857'))","[(Decimal('40.4286798'), Decimal('-86.9126074')), (Decimal('40.4291364'), Decimal('-86.9119656')), (Decimal('40.4291299'), Decimal('-86.9120547')), (Decimal('40.4264213'), Decimal('-86.9113792')), (Decimal('40.4241765'), Decimal('-86.9102788')), (Decimal('40.4242085'), Decimal('-86.9102794')), (Decimal('40.4242364'), Decimal('-86.9102808')), (Decimal('40.4243256'), Decimal('-86.9102801')), (Decimal('40.4270764'), Decimal('-86.9119670')), (Decimal('40.4268794'), Decimal('-86.9111787')), (Decimal('40.4268766'), Decimal('-86.9120360')), (Decimal('40.4268694'), Decimal('-86.9115233')), (Decimal('40.4267735'), Decimal('-86.9109676')), (Decimal('40.4267661'), Decimal('-86.9112735')), (Decimal('40.4238889'), Decimal('-86.9093751')), (Decimal('40.4240418'), Decimal('-86.9093850')), (Decimal('40.4240246'), Decimal('-86.9088248')), (Decimal('40.4239109'), Decimal('-86.9088256')), (Decimal('40.4251130'), Decimal('-86.9069857')), (Decimal('40.4249114'), Decimal('-86.9067010')), (Decimal('40.4240155'), Decimal('-86.9083140')), (Decimal('40.4239102'), Decimal('-86.9101112')), (Decimal('40.4240558'), Decimal('-86.9098928')), (Decimal('40.4240565'), Decimal('-86.9100590')), (Decimal('40.4240578'), Decimal('-86.9101015'))]"
boundary,border_zone,40.425869,-86.908066,500,0,,[]
boundary,forest,40.425869,-86.908066,500,0,,[]
boundary,national_park,40.425869,-86.908066,500,0,,[]
building,bungalow,40.425869,-86.908066,500,0,,[]
building,apartments,40.425869,-86.908066,500,0,,[]
building,dormitory,40.425869,-86.908066,500,0,,[]
public_transport,railway_halt,40.425869,-86.908066,500,0,,[]
public_transport,public_transport_stop_position,40.425869,-86.908066,500,0,,[]
shop,alcohol,40.425869,-86.908066,500,0,,[]
shop,bakery,40.425869,-86.908066,500,0,,[]
telecom,exchange,40.425869,-86.908066,500,0,,[]
