name,address,latitude,longitude,county,Grocery Stores,Food Outlets,Tourist Destinations,Hotels,Educational Institutions,Hospitals,Airports,Residential Housing Density,Commercial Housing Density,Fuel Stations & Car Wash,Apparels,Height Restrictor,Border Zone,Public Transportation,radius_miles
Meijer,"1251 M-32, Alpena, MI 49707, United States",45.0591468,-83.4746932,Alcona,0,25,2,1,1,1,1,88,28,0,0,0,0,0,3
Meijer,"100 Pigeon Rd, Bad Axe, MI 48413, United States",43.8256988,-83.0047454,Alcona,0,6,0,0,1,1,4,17,1,0,0,0,0,0,3
Meijer,"9515 Birch Run Rd, Birch Run, MI 48415, United States",43.2529182,-83.7658004,Alcona,0,8,0,1,0,0,0,0,2,0,0,0,0,0,3
Meijer,"3360 Tittabawassee Rd, Saginaw, MI 48604, United States",43.4820299,-83.9824788,Alcona,0,33,0,1,2,2,0,66,28,0,0,0,0,0,3
Meijer Express Gas Station,"1241 M-32, Alpena, MI 49707, United States",45.0611621,-83.4746063,Alcona,0,25,2,1,1,1,1,88,28,0,0,0,0,0,3
Meijer,"7300 Eastman Ave, Midland, MI 48642, United States",43.66317,-84.2431904,Alcona,0,22,1,2,2,10,5,53,25,0,0,0,0,0,3
Meijer,"3955 US-31, Traverse City, MI 49684, United States",44.7431122,-85.6445616,Alcona,0,82,3,2,2,2,3,207,83,0,0,0,0,0,3
Meijer,"3630 US-41 West, Marquette, MI 49855, United States",46.5530229,-87.4717557,Alger,0,17,0,2,0,1,0,151,51,0,0,0,0,0,3
Meijer,"505 N 26th St, Escanaba, MI 49829, United States",45.7514114,-87.0866699,Alger,0,22,1,0,1,1,4,371,20,0,0,0,0,0,3
Meijer,"1201 Lears Rd, Petoskey, MI 49770, United States",45.3469047,-84.9648513,Alger,0,18,1,0,3,2,0,82,5,0,0,0,0,0,3
Meijer,"3691 M-55, West Branch, MI 48661, United States",44.2742424,-84.2742614,Alger,0,12,0,0,2,1,2,23,2,0,0,0,0,0,3
Meijer Express Gas Station,"3730 US-41, Marquette, MI 49855, United States",46.5487136,-87.4747672,Alger,0,17,0,2,0,0,0,127,42,0,0,0,0,0,3
Meijer Express Gas Station,"2600 3rd Ave N, Escanaba, MI 49829, United States",45.7492853,-87.0854277,Alger,0,22,1,0,1,1,4,371,20,0,0,0,0,0,3
Meijer,"800 US-131, Three Rivers, MI 49093, United States",41.9339359,-85.6544184,Alger,0,7,0,0,1,1,1,49,18,0,0,0,0,0,3
Meijer,"5300 Harvey St, Muskegon, MI 49444, United States",43.1564924,-86.2032498,Alger,0,12,0,0,0,0,3,28,26,0,0,0,0,0,3
Meijer,"1540 28th St SE, Grand Rapids, MI 49508, United States",42.9109204,-85.62924,Alger,0,42,0,1,5,1,1,95,111,0,0,0,0,0,3
Meijer,"315 Wilson Ave NW, Grand Rapids, MI 49534, United States",42.969937,-85.7786065,Alger,0,17,1,0,1,0,1,129,12,0,0,0,0,0,3
Meijer,"3825 Carpenter Rd, Ypsilanti, MI 48197, United States",42.2340066,-83.6770729,Alger,0,51,1,6,4,10,1,776,99,0,0,0,0,0,3
Meijer,"28800 Telegraph Rd, Southfield, MI 48034, United States",42.5001128,-83.2823578,Alger,0,28,2,0,2,0,1,353,95,0,0,0,0,0,3
Meijer,"21431 Grand River Ave, Detroit, MI 48219, United States",42.4122461,-83.2528348,Alger,0,17,0,0,4,1,0,409,136,0,0,0,0,0,3
Meijer,"1301 Eight Mile Rd, Detroit, MI 48203, United States",42.4446792,-83.1192245,Alger,0,75,13,0,6,2,0,305,77,0,0,0,0,0,3
Meijer Express Gas Station,"7420 N Alger Rd, Alma, MI 48801, United States",43.3989601,-84.6662143,Alger,0,6,1,0,2,1,1,1,0,0,0,0,0,0,3
Meijer,"3565 Fairlane Dr, Allen Park, MI 48101, United States",42.2789819,-83.2040801,Alger,0,80,2,1,5,2,2,294,83,0,0,0,0,0,3
Meijer Express Gas Station,"2141 US-131, Petoskey, MI 49770, United States",45.3459991,-84.9670953,Alger,0,19,1,0,2,2,0,82,5,0,0,0,0,0,3
Meijer,"1195 M-89, Plainwell, MI 49080, United States",42.4523698,-85.6601861,Allegan,0,13,0,0,2,1,3,22,13,0,0,0,0,0,3
