Grocery Stores,Food Outlets,Tourist Destinations,Hotels,Educational Institutions,Hospitals,Airports,Residential Housing Density,Commercial Housing Density,Fuel Stations & Car Wash,Apparels,Height Restrictor,Border Zone,Public Transportation,latitude,longitude,radius_miles
0,25,2,1,1,1,1,88,28,0,0,0,0,0,45.0591468,-83.4746932,3
0,6,0,0,1,1,4,17,1,0,0,0,0,0,43.8256988,-83.0047454,3
0,8,0,1,0,0,0,0,2,0,0,0,0,0,43.2529182,-83.7658004,3
0,33,0,1,2,2,0,66,28,0,0,0,0,0,43.4820299,-83.9824788,3
0,25,2,1,1,1,1,88,28,0,0,0,0,0,45.0611621,-83.4746063,3
0,22,1,2,2,10,5,53,25,0,0,0,0,0,43.66317,-84.2431904,3
0,82,3,2,2,2,3,207,83,0,0,0,0,0,44.7431122,-85.6445616,3
0,17,0,2,0,1,0,151,51,0,0,0,0,0,46.5530229,-87.4717557,3
0,22,1,0,1,1,4,371,20,0,0,0,0,0,45.7514114,-87.0866699,3
0,18,1,0,3,2,0,82,5,0,0,0,0,0,45.3469047,-84.9648513,3
0,12,0,0,2,1,2,23,2,0,0,0,0,0,44.2742424,-84.2742614,3
0,17,0,2,0,0,0,127,42,0,0,0,0,0,46.5487136,-87.4747672,3
0,22,1,0,1,1,4,371,20,0,0,0,0,0,45.7492853,-87.0854277,3
0,7,0,0,1,1,1,49,18,0,0,0,0,0,41.9339359,-85.6544184,3
0,12,0,0,0,0,3,28,26,0,0,0,0,0,43.1564924,-86.2032498,3
0,42,0,1,5,1,1,95,111,0,0,0,0,0,42.9109204,-85.62924,3
0,17,1,0,1,0,1,129,12,0,0,0,0,0,42.969937,-85.7786065,3
0,51,1,6,4,10,1,776,99,0,0,0,0,0,42.2340066,-83.6770729,3
0,28,2,0,2,0,1,353,95,0,0,0,0,0,42.5001128,-83.2823578,3
0,17,0,0,4,1,0,409,136,0,0,0,0,0,42.4122461,-83.2528348,3
0,75,13,0,6,2,0,305,77,0,0,0,0,0,42.4446792,-83.1192245,3
0,6,1,0,2,1,1,1,0,0,0,0,0,0,43.3989601,-84.6662143,3
0,80,2,1,5,2,2,294,83,0,0,0,0,0,42.2789819,-83.2040801,3
0,19,1,0,2,2,0,82,5,0,0,0,0,0,45.3459991,-84.9670953,3
0,13,0,0,2,1,3,22,13,0,0,0,0,0,42.4523698,-85.6601861,3
0,5,6,1,0,0,0,50,0,0,0,0,0,0,44.7708506,-85.4771958,3
0,15,0,0,1,1,3,0,4,0,0,0,0,0,45.0249741,-84.7233385,3
0,5,6,1,0,0,0,50,0,0,0,0,0,0,44.7708506,-85.4771958,3
0,6,0,0,1,1,2,1,2,0,0,0,0,0,44.2837106,-85.4050028,3
0,33,1,0,2,2,3,311,26,0,0,0,0,0,43.614212,-84.7648504,3
0,6,1,0,2,1,1,1,0,0,0,0,0,0,43.3983948,-84.6624102,3
0,4,0,0,2,0,2,2,32,0,0,0,0,0,43.217321,-85.5792888,3
0,15,0,0,1,1,3,0,4,0,0,0,0,0,45.0270784,-84.7230404,3
0,6,0,0,1,0,2,17,6,0,0,0,0,0,42.5659498,-84.444688,3
0,26,1,0,1,3,3,25,130,0,0,0,0,0,42.2712674,-84.4505632,3
0,2,0,0,1,0,2,0,16,0,0,0,0,0,42.5551697,-84.8142953,3
0,44,0,0,3,2,1,862,18,0,0,0,0,0,42.1439784,-83.2300745,3
0,7,0,0,1,1,0,300,45,0,0,0,0,0,42.773573,-84.4178103,3
0,18,0,5,2,0,2,255,15,0,0,0,0,0,42.2320789,-83.4831806,3
0,8,0,0,1,0,0,0,0,0,0,0,0,0,42.0262862,-86.5160359,3
0,46,0,5,2,1,1,726,21,0,0,0,0,0,42.2003355,-83.2613078,3
0,11,0,2,0,0,0,204,16,0,0,0,0,0,42.286165,-83.8419384,3
0,74,8,3,1,0,1,1507,68,0,0,0,0,0,42.4356869,-83.4371012,3
0,120,7,14,8,0,3,796,168,0,0,0,0,0,42.239608,-83.766545,3
0,16,0,0,2,1,2,117,1,0,0,0,0,0,42.323266,-85.5153914,3
0,28,0,0,1,0,0,667,16,0,0,0,0,0,42.2985975,-85.6795672,3
0,15,0,0,1,1,3,0,4,0,0,0,0,0,45.0254877,-84.7243762,3
0,18,0,0,1,0,2,4,11,0,0,0,0,0,43.5827165,-83.8388917,3
0,33,0,0,2,0,0,0,2,0,0,0,0,0,43.6218004,-83.9341727,3
0,13,0,0,2,0,0,12,1,0,0,0,0,0,43.4179573,-84.0796051,3
0,17,0,1,2,0,0,169,7,0,0,0,0,0,42.8462516,-85.6193955,3
0,6,0,0,1,1,4,17,1,0,0,0,0,0,43.8243782,-83.0013038,3
