StoreID,latitude,longitude,visits,Grocery_Stores_1mile,Food_Outlets_1mile,Educational_Institutions_1mile,Residential_Housing_1mile,Commercial_Housing_1mile,Fuel_Stations_Car_Wash_1mile,Hospitals_3miles,Apparels_3miles,Tourist_Destinations_5miles,Hotels_5miles,Airports_5miles,City,State,County,Census Tract Code,Census Block Code,ACS Economics/Number of households/Total/Value,ACS Economics/Median household income/Total/Value,"ACS Economics/Household income/Less than $10,000/Value","ACS Economics/Household income/$10,000 to $14,999/Value","ACS Economics/Household income/$15,000 to $19,999/Value","ACS Economics/Household income/$20,000 to $24,999/Value","ACS Economics/Household income/$25,000 to $29,999/Value","ACS Economics/Household income/$30,000 to $34,999/Value","ACS Economics/Household income/$35,000 to $39,999/Value","ACS Economics/Household income/$40,000 to $44,999/Value","ACS Economics/Household income/$45,000 to $49,999/Value","ACS Economics/Household income/$50,000 to $59,999/Value","ACS Economics/Household income/$60,000 to $74,999/Value","ACS Economics/Household income/$75,000 to $99,999/Value","ACS Economics/Household income/$100,000 to $124,999/Value","ACS Economics/Household income/$125,000 to $149,999/Value","ACS Economics/Household income/$150,000 to $199,999/Value","ACS Economics/Household income/$200,000 or more/Value",ACS Families/Household type by household/Family households/Value,ACS Families/Household type by household/Nonfamily households/Value,ACS Demographics/Median age/Total/Value,ACS Demographics/Population by age range/Total/Value,ACS Demographics/Population by age range/Male: 5 to 9 years/Value,ACS Demographics/Population by age range/Male: 10 to 14 years/Value,ACS Demographics/Population by age range/Male: 15 to 17 years/Value,ACS Demographics/Population by age range/Male: 18 and 19 years/Value,ACS Demographics/Population by age range/Male: 20 years/Value,ACS Demographics/Population by age range/Male: 21 years/Value,ACS Demographics/Population by age range/Male: 22 to 24 years/Value,ACS Demographics/Population by age range/Male: 25 to 29 years/Value,ACS Demographics/Population by age range/Male: 30 to 34 years/Value,ACS Demographics/Population by age range/Male: 35 to 39 years/Value,ACS Demographics/Population by age range/Male: 40 to 44 years/Value,ACS Demographics/Population by age range/Male: 45 to 49 years/Value,ACS Demographics/Population by age range/Male: 50 to 54 years/Value,ACS Demographics/Population by age range/Male: 55 to 59 years/Value,ACS Demographics/Population by age range/Male: 60 and 61 years/Value,ACS Demographics/Population by age range/Male: 62 to 64 years/Value,ACS Demographics/Population by age range/Male: 65 and 66 years/Value,ACS Demographics/Population by age range/Male: 67 to 69 years/Value,ACS Demographics/Population by age range/Male: 70 to 74 years/Value,ACS Demographics/Population by age range/Male: 75 to 79 years/Value,ACS Demographics/Population by age range/Male: 80 to 84 years/Value,ACS Demographics/Population by age range/Male: 85 years and over/Value,ACS Demographics/Population by age range/Female: Under 5 years/Value,ACS Demographics/Population by age range/Female: 5 to 9 years/Value,ACS Demographics/Population by age range/Female: 10 to 14 years/Value,ACS Demographics/Population by age range/Female: 15 to 17 years/Value,ACS Demographics/Population by age range/Female: 18 and 19 years/Value,ACS Demographics/Population by age range/Female: 20 years/Value,ACS Demographics/Population by age range/Female: 21 years/Value,ACS Demographics/Population by age range/Female: 22 to 24 years/Value,ACS Demographics/Population by age range/Female: 25 to 29 years/Value,ACS Demographics/Population by age range/Female: 30 to 34 years/Value,ACS Demographics/Population by age range/Female: 35 to 39 years/Value,ACS Demographics/Population by age range/Female: 40 to 44 years/Value,ACS Demographics/Population by age range/Female: 45 to 49 years/Value,ACS Demographics/Population by age range/Female: 50 to 54 years/Value,ACS Demographics/Population by age range/Female: 55 to 59 years/Value,ACS Demographics/Population by age range/Female: 60 and 61 years/Value,ACS Demographics/Population by age range/Female: 62 to 64 years/Value,ACS Demographics/Population by age range/Female: 65 and 66 years/Value,ACS Demographics/Population by age range/Female: 67 to 69 years/Value,ACS Demographics/Population by age range/Female: 70 to 74 years/Value,ACS Demographics/Population by age range/Female: 75 to 79 years/Value,ACS Demographics/Population by age range/Female: 80 to 84 years/Value,ACS Demographics/Population by age range/Female: 85 years and over/Value
158,42.9966672,-85.59439066,51459,5,35,11,8,1,4,17,0,4,3,7,Grand Rapids,MI,Kent County,11803,3008,967,126169,52,17,33,26,41,26,0,17,18,39,27,130,43,51,85,362,674,293,41.9,2425,96,140,65,30,11,0,15,87,8,71,45,65,130,139,31,35,34,18,7,26,0,40,33,59,68,68,25,22,30,67,94,71,70,49,112,122,144,29,12,53,30,32,54,24,38
33,44.74302258,-85.64459259,50808,10,22,8,34,1,6,10,40,4,3,8,Traverse City,MI,Grand Traverse County,551400,1040,685,88087,42,53,0,0,17,39,42,16,0,0,71,132,138,38,48,49,392,293,59.7,1645,0,35,9,0,0,48,0,64,108,31,44,51,72,26,0,58,14,13,85,46,27,82,11,0,49,18,20,0,0,13,0,70,10,85,6,8,57,27,127,0,47,68,53,7,156
69,43.61459478,-84.76481226,53618,6,12,5,0,12,5,5,2,1,0,4,Mount Pleasant,MI,Isabella County,940300,3003,396,62222,14,0,38,5,22,14,9,11,18,51,62,98,4,17,10,23,232,164,33.4,993,46,19,39,0,5,0,18,66,68,35,22,76,10,28,0,8,0,5,9,11,13,4,8,48,8,5,0,0,14,4,83,41,40,41,28,4,26,5,9,22,12,18,14,4,11
216,42.96999411,-85.77911911,54147,4,26,0,33,6,6,1,1,1,1,2,Grand Rapids,MI,Kent County,11702,1016,724,91071,0,10,52,10,9,24,21,0,11,79,68,97,173,37,81,52,562,162,31.5,2357,63,158,35,33,0,12,12,53,50,71,62,108,73,77,9,78,33,7,32,31,27,9,45,125,158,142,64,47,61,54,27,55,59,80,81,31,61,26,21,38,9,25,31,9,26
56,42.25473373,-84.35960021,37206,4,5,0,0,1,2,10,3,0,0,3,Michigan Center,MI,Jackson County,6001,2009,295,51042,0,0,0,14,29,0,43,5,44,30,54,66,10,0,0,0,213,82,44.5,937,101,51,0,0,0,0,0,14,49,15,97,44,38,8,18,17,16,0,0,13,19,0,30,15,48,17,0,0,0,0,78,0,0,0,127,10,0,0,0,15,0,0,67,15,15
232,43.15651478,-86.20192006,44781,4,18,0,0,18,3,1,0,1,0,5,Muskegon,MI,Muskegon County,2800,1001,729,65729,50,0,24,11,0,40,50,50,49,52,84,172,82,37,6,22,403,326,54.8,1519,0,70,0,21,0,55,25,57,0,0,20,82,103,30,28,0,13,74,88,21,12,43,0,17,0,44,31,0,17,27,36,0,0,11,105,54,13,35,37,11,91,99,40,51,58
119,42.29867703,-85.67941605,49590,3,4,1,12,1,2,4,3,3,1,1,Kalamazoo,MI,Kalamazoo County,2908,3029,905,112250,0,0,139,20,14,0,20,31,16,0,146,34,57,67,163,198,633,272,41.3,2428,210,115,30,0,0,0,0,64,62,70,96,50,25,66,16,95,9,80,39,26,0,23,45,64,127,0,0,0,0,100,39,39,82,157,39,64,43,34,49,69,40,70,0,157,23
324,42.66846314,-84.54094176,43648,20,34,2,8,10,12,27,7,7,1,4,Lansing,MI,Ingham County,5304,1007,368,76000,7,7,24,0,22,29,16,11,10,21,21,113,49,12,15,11,212,156,36.4,1031,10,78,0,13,0,0,0,18,17,54,10,24,40,0,11,11,23,12,13,0,11,50,74,116,0,12,10,0,0,0,49,40,57,31,25,25,34,24,25,14,0,33,10,8,0
199,42.84620782,-85.6197811,42255,6,16,3,111,3,3,9,1,1,1,2,Caledonia,MI,Kent County,14809,1015,1223,76354,13,0,27,43,37,61,39,24,106,62,193,140,162,212,73,31,879,344,42.2,2978,68,87,31,31,46,10,190,169,37,52,60,52,92,41,16,55,14,55,33,82,23,59,210,62,39,56,44,10,15,99,67,20,20,127,31,276,66,17,95,24,69,209,62,0,37
108,43.66319811,-84.24318594,39915,10,22,4,3,16,8,22,3,2,2,7,Midland,MI,Midland County,291104,3018,869,80924,0,29,0,29,46,17,17,56,0,79,131,96,40,7,105,217,642,227,47.8,2229,113,92,47,20,0,0,0,74,116,47,39,87,39,111,23,20,11,15,160,16,0,85,54,83,52,54,27,0,0,0,25,60,57,69,40,37,119,14,41,170,53,44,15,12,46
