StoreID,latitude,longitude,visits,Grocery_Stores_1mile,Food_Outlets_1mile,Tourist_Destinations_1mile,Hotels_1mile,Educational_Institutions_1mile,Hospitals_1mile,Airports_1mile,Residential_Housing_1mile,Commercial_Housing_1mile,Fuel_Stations_Car_Wash_1mile,Apparels_1mile,Height_Restrictor_1mile,Border_Zone_1mile,Grocery_Stores_3miles,Food_Outlets_3miles,Tourist_Destinations_3miles,Hotels_3miles,Educational_Institutions_3miles,Hospitals_3miles,Airports_3miles,Residential_Housing_3miles,Commercial_Housing_3miles,Fuel_Stations_Car_Wash_3miles,Apparels_3miles,Height_Restrictor_3miles,Border_Zone_3miles,Grocery_Stores_5miles,Food_Outlets_5miles,Tourist_Destinations_5miles,Hotels_5miles,Educational_Institutions_5miles,Hospitals_5miles,Airports_5miles,Residential_Housing_5miles,Commercial_Housing_5miles,Fuel_Stations_Car_Wash_5miles,Apparels_5miles,Height_Restrictor_5miles,Border_Zone_5miles,Public_Transportation_1mile,Public_Transportation_3miles,Public_Transportation_5miles
158,42.9966672,-85.59439066,51459,5,35,0,0,11,4,0,8,1,4,0,0,0,23,70,0,1,35,17,1,60,12,24,0,0,0,75,235,4,3,115,46,7,221,115,57,14,0,0,0,0,5
33,44.74302258,-85.64459259,50808,10,22,1,0,8,3,0,34,1,6,0,0,0,41,123,3,2,22,10,3,207,83,28,40,0,0,60,143,4,3,43,15,8,232,120,41,40,0,0,24,114,137
69,43.61459478,-84.76481226,53618,6,12,0,0,5,2,0,0,12,5,0,0,0,31,66,1,0,44,5,3,310,26,18,2,0,0,32,66,1,0,44,5,4,378,26,18,2,0,0,0,0,0
216,42.96999411,-85.77911911,54147,4,26,0,0,0,1,0,33,6,6,1,0,0,8,31,1,0,8,1,1,129,11,11,1,0,0,40,95,1,1,44,7,2,215,62,48,3,0,0,0,0,0
56,42.25473373,-84.35960021,37206,4,5,0,0,0,2,0,0,1,2,0,0,0,27,27,0,0,8,10,1,38,62,22,3,0,0,63,74,0,0,12,13,3,42,98,50,4,0,0,0,6,6
232,43.15651478,-86.20192006,44781,4,18,0,0,0,1,0,0,18,3,0,0,0,12,20,0,0,4,1,3,28,26,9,0,0,0,46,62,1,0,18,8,5,149,51,37,0,0,0,0,0,0
119,42.29867703,-85.67941605,49590,3,4,0,0,1,2,0,12,1,2,0,0,0,25,60,0,0,10,4,0,671,16,19,3,0,0,44,115,3,1,90,6,1,869,62,34,3,0,0,0,0,6
324,42.66846314,-84.54094176,43648,20,34,0,0,2,6,0,8,10,12,1,0,0,54,88,0,0,25,27,2,266,126,42,7,0,0,92,186,7,1,92,37,4,541,323,89,14,0,0,0,2,9
199,42.84620782,-85.6197811,42255,6,16,0,0,3,3,0,111,3,3,0,0,0,31,39,0,1,16,9,0,169,8,27,1,0,0,65,87,1,1,27,15,2,246,102,57,22,0,0,0,0,1
108,43.66319811,-84.24318594,39915,10,22,0,2,4,1,2,3,16,8,2,0,0,16,41,1,2,30,22,5,53,25,12,3,0,0,27,75,2,2,38,24,7,135,49,23,3,0,0,0,0,0
