name,latitude,longitude,driving_distance,distance_to_nearest_motorway,traffic_aadt,grocery_stores,food_outlets,tourist_destinations,hotels,educational_institutions,hospitals,airports,residential_housing_density,commercial_housing_density,fuel_stations_and_car_wash,apparels,visits
Meijer Express Gas Station,43.3989601,-84.6662143,1,3,2449,14,6,1,0,8,3,1,1,0,15,0,36899
Meijer Express Gas Station,45.3459991,-84.9670953,27.5,32,5952,18,21,1,0,13,18,0,93,5,11,6,30128
Meijer Express Gas Station,45.0270784,-84.7230404,1.6,4,13096,20,17,0,1,10,4,3,0,4,16,0,26063
Meijer Express Gas Station,43.8243782,-83.0013038,63.1,73,1920,11,6,0,0,6,1,4,17,1,9,2,18029
Meijer Express Gas Station,43.6626171,-84.2465328,7.3,11,4461,23,41,2,2,39,22,7,135,49,16,3,48818
Meijer Express Gas Station,42.8423657,-85.5309757,0.7,4,5634,26,32,0,1,27,4,4,303,53,19,0,48258
Meijer Express Gas Station,42.9481147,-85.0755104,4.6,7,998,13,6,0,0,7,4,4,0,2,10,0,37515
Meijer Express Gas Station,44.7435604,-85.6422922,34.7,43,4030,53,91,4,3,43,14,8,232,108,28,40,58049
Meijer Express Gas Station,42.0281796,-86.515443,3.4,6,498,24,12,0,0,10,5,1,92,0,19,0,39779
Meijer Express Gas Station,42.2966504,-85.2377101,2.3,5,11838,55,18,4,1,40,14,6,174,44,39,1,49673
Meijer Express Gas Station,42.2616721,-85.1743075,0.9,4,927,45,15,3,1,31,7,4,134,42,29,1,42651
Meijer Express Gas Station,41.9331334,-85.6524231,37.1,44,5807,9,7,0,0,9,2,3,49,18,6,0,27626
Meijer Express Gas Station,46.4635853,-84.3866686,1.7,5,2005,20,18,8,4,26,8,3,34,22,16,23,25735
Meijer Express Gas Station,42.5535708,-84.8157301,0.1,1,26269,11,2,0,0,1,1,3,0,16,9,0,41163
Meijer Express Gas Station,42.7713938,-84.4184926,0.8,4,15522,46,81,4,3,94,17,0,1144,174,20,15,28066
Meijer Express Gas Station,42.6674417,-84.5386417,0.1,2,19315,88,60,3,1,92,36,4,538,318,41,13,48501
Meijer Express Gas Station,42.5672004,-84.4438516,6.3,9,1870,10,6,0,0,8,1,2,17,6,7,1,40197
Meijer Express Gas Station,42.913739,-85.5319574,0.2,1,31137,43,64,1,3,41,7,5,252,146,30,16,48907
Meijer Express Gas Station,42.9968645,-85.5915965,1.9,5,13114,67,151,0,3,110,43,7,211,107,41,14,55750
Meijer Express Gas Station,43.0082599,-85.6892188,0.9,4,20324,78,162,0,2,101,37,6,307,120,56,13,42491
Meijer Express Gas Station,42.9717125,-85.6845665,1,4,7942,99,166,0,4,117,44,7,313,134,73,14,54539
Meijer Express Gas Station,42.910613,-85.627076,4.4,10,12235,106,162,0,5,98,38,9,342,216,74,26,48907
Meijer Express Gas Station,43.0185169,-85.7238812,0.1,3,4754,60,114,0,2,72,13,4,209,75,49,5,42672
Meijer Express Gas Station,42.931156,-85.3750066,6,11,13105,8,1,1,0,4,1,4,0,1,9,0,28339
Meijer Express Gas Station,42.9688199,-85.7768253,4,9,2486,39,53,1,1,47,7,2,217,62,35,3,35264
Meijer Express Gas Station,43.2191257,-85.5803605,0.2,2,10001,10,4,0,0,7,1,2,4,33,7,0,32455
Meijer Express Gas Station,42.9989072,-84.1162792,8.5,13,6777,15,13,0,0,8,4,5,301,97,13,1,55181
Meijer Express Gas Station,43.4165007,-84.0776127,8.1,17,6079,20,21,0,0,17,4,0,12,5,15,1,36270
Meijer Express Gas Station,43.9567937,-86.3786358,8.2,10,19918,20,22,0,6,15,6,3,5,26,11,10,25210
Meijer Express Gas Station,44.2819082,-85.405727,0.7,3,9448,18,18,1,0,13,5,2,1,4,15,1,35566
Meijer Express Gas Station,43.176488,-85.2803306,27.4,30,6135,13,3,0,0,4,2,2,36,4,13,0,45217
Meijer Express Gas Station,43.1555837,-86.2050913,0.3,2,9222,45,30,0,0,18,8,5,168,52,32,0,50519
Meijer Express Gas Station,43.1910771,-86.2610929,3.2,8,13943,56,57,4,1,34,13,6,213,90,40,2,33589
Meijer Express Gas Station,42.6405571,-83.2060504,2.3,6,4978,88,102,1,3,122,47,5,280,141,57,17,25467
Meijer Express Gas Station,42.5210675,-83.0951421,3.8,8,26788,247,305,38,13,117,68,3,1326,231,148,29,38693
Meijer Express Gas Station,42.8268834,-86.0902808,1.7,5,11396,55,65,4,6,67,7,0,111,69,36,19,44766
Meijer Express Gas Station,43.0382099,-86.2193507,3.6,9,6133,24,37,1,0,12,5,4,96,5,17,0,36543
Meijer Express Gas Station,42.9107361,-82.4958546,11.3,17,4973,26,19,2,0,12,7,4,0,23,21,1,48907
Meijer Express Gas Station,43.0459056,-82.4579791,3.3,7,7477,20,26,1,1,11,6,2,3,6,14,9,41826
Meijer Express Gas Station,42.7210227,-82.7425376,0.7,3,2316,22,7,0,1,11,7,2,41,8,20,0,30859
Meijer Express Gas Station,42.6761896,-82.8327126,1.4,8,7723,44,16,36,1,23,11,11,56,14,35,1,31118
Meijer Express Gas Station,41.7870373,-85.4278011,2.1,4,4543,16,3,1,3,7,8,4,1,6,15,0,29246
Meijer Express Gas Station,43.0428124,-83.3245142,1.2,5,24485,14,13,0,0,6,3,3,4,1,11,2,41826
