Pseudo Store ID,Latitude,Longitude,Visits,Chain
100000,37.0469,-93.3024,125014,Kum&Go
100001,37.0427,-93.2835,230643,Kum&Go
100002,37.0049,-93.2065,520220,Kum&Go
100003,37.0709,-93.2319,691043,Kum&Go
100004,35.9443,-95.6497,213666,Kum&Go
100005,41.4873,-91.5541,378966,Kum&Go
100006,36.8362,-94.3947,377824,Kum&Go
100007,36.0761,-95.7788,501971,Kum&Go
100008,37.0512,-94.479,474980,Kum&Go
100009,38.9916,-104.8071,722382,Kum&Go
100010,38.9887,-104.7973,268780,Kum&Go
100011,39.5956,-104.8507,366344,Kum&Go
100012,37.2398,-93.2234,910735,Kum&Go
100013,37.0331,-94.5159,806698,Kum&Go
100014,36.0433,-94.2365,509619,Kum&Go
100015,43.1451,-93.3599,120921,Kum&Go
100016,41.6889,-93.7843,161851,Kum&Go
100017,40.4297,-104.7927,327293,Kum&Go
100018,39.5685,-107.5165,364253,Kum&Go
100019,40.4074,-104.7936,427377,Kum&Go
100020,39.6455,-106.9469,412241,Kum&Go
100021,38.8405,-104.7381,478839,Kum&Go
100022,40.7033,-104.9997,459601,Kum&Go
100023,40.0593,-106.388,352978,Kum&Go
100024,36.279,-95.8542,311200,Kum&Go
100025,41.7313,-93.5816,251649,Kum&Go
100026,41.6719,-93.7371,159272,Kum&Go
100027,39.9864,-104.7955,250204,Kum&Go
100028,36.0531,-94.1345,497727,Kum&Go
100029,38.8189,-104.822,347053,Kum&Go
100030,41.5907,-93.7127,215103,Kum&Go
100031,41.6072,-93.7358,219435,Kum&Go
100032,44.349,-106.6987,111009,Kum&Go
100033,39.6248,-105.128,485409,Kum&Go
100034,40.087,-104.9744,251243,Kum&Go
100035,44.291,-105.4785,187325,Kum&Go
100036,38.9157,-104.7877,362621,Kum&Go
100037,38.877,-104.8367,555803,Kum&Go
100038,44.2916,-105.532,180436,Kum&Go
100039,39.6588,-104.85,363407,Kum&Go
100040,41.1392,-104.7691,460060,Kum&Go
100041,41.1596,-104.7677,379632,Kum&Go
100042,39.9134,-104.9235,515608,Kum&Go
100043,41.3173,-105.5925,94203,Kum&Go
100044,38.886,-104.7027,416687,Kum&Go
100045,44.3005,-105.5303,440568,Kum&Go
100046,38.9397,-104.7285,420949,Kum&Go
