Grocery Stores,Food Outlets,Tourist Destinations,Hotels,Educational Institutions,Hospitals,Airports,Residential Housing Density,Commercial Housing Density,Fuel Stations & Car Wash,Apparels,Height Restrictor,Border Zone,Public Transportation,latitude,longitude,radius_miles
0,5,0,0,0,0,0,12,8,0,0,0,0,0,42.8845946,-85.7813442,1
0,2,0,0,0,0,0,0,0,0,0,0,0,0,42.8654298,-85.6646825,1
0,6,0,1,1,0,0,43,17,0,0,0,0,0,42.9050832,-85.7763133,1
0,3,0,0,0,0,0,7,5,0,0,0,0,0,43.0022577,-85.6881794,1
0,1,0,0,0,0,0,6,0,0,0,0,0,0,42.8688229,-85.6257608,1
0,0,0,0,1,1,1,0,0,0,0,0,0,0,42.1801769,-86.2608687,1
0,0,0,0,1,0,0,0,0,0,0,0,0,0,41.9315417,-86.5696761,1
0,19,2,0,2,2,1,4,26,0,0,0,0,0,42.2845555,-85.5747042,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.7660971,-85.3165607,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.5294285,-85.7569481,1
0,12,0,0,2,0,0,76,2,0,0,0,0,0,41.7958389,-86.7453501,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.9892644,-84.3247284,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.6645948,-84.3404434,1
0,18,0,0,0,0,0,156,11,0,0,0,0,0,45.7551341,-87.0730294,1
0,9,0,0,1,1,2,0,0,0,0,0,0,0,42.9811641,-82.4240239,1
0,3,1,0,1,0,0,1,0,0,0,0,0,0,42.5380458,-83.4800663,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.8227816,-85.4223191,1
0,90,1,2,6,7,4,174,45,0,0,0,0,0,42.2878595,-83.7443653,1
0,2,0,0,1,0,0,0,3,0,0,0,0,0,42.4267281,-83.0389964,1
0,4,0,0,1,4,0,7,9,0,0,0,0,0,42.4348215,-82.9755327,1
0,26,0,0,1,0,0,56,2,0,0,0,0,0,42.3168596,-83.1270828,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.2553571,-83.4807804,1
0,37,1,3,1,1,1,164,76,0,0,0,0,0,42.3316961,-83.0711125,1
0,12,0,0,0,0,0,43,6,0,0,0,0,0,45.0591322,-83.4523628,1
0,1,0,0,0,1,1,2,5,0,0,0,0,0,42.8090372,-85.9942724,1
0,4,0,0,0,0,0,29,0,0,0,0,0,0,42.3275404,-85.5453265,1
0,4,0,1,0,0,0,27,0,0,0,0,0,0,44.7730458,-85.5004254,1
0,10,0,0,1,1,1,0,3,0,0,0,0,0,45.0284967,-84.6733967,1
0,4,0,0,1,1,1,0,0,0,0,0,0,0,44.6576275,-84.7088635,1
0,7,0,0,0,0,2,25,3,0,0,0,0,0,44.733665,-85.6050532,1
0,31,1,0,0,2,1,42,30,0,0,0,0,0,44.7520016,-85.6325033,1
0,8,1,0,1,1,1,26,2,0,0,0,0,0,45.3144902,-85.2586169,1
0,2,0,0,0,0,0,0,0,0,0,0,0,0,43.637691,-83.9139085,1
0,15,0,0,1,0,0,0,0,0,0,0,0,0,43.6095609,-83.9002608,1
0,0,0,0,0,0,0,0,1,0,0,0,0,0,43.6091173,-83.8570763,1
0,7,0,0,0,0,0,0,0,0,0,0,0,0,43.6230206,-83.8822369,1
0,0,0,0,0,0,1,1,9,0,0,0,0,0,43.5656437,-83.8934035,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.341442,-84.203018,1
0,4,0,0,0,0,0,0,1,0,0,0,0,0,43.5805681,-83.9153659,1
0,10,0,0,1,0,1,1,1,0,0,0,0,0,43.5891638,-83.8758623,1
0,4,0,0,0,0,1,2,10,0,0,0,0,0,43.5797876,-83.8817438,1
0,1,0,0,0,0,0,58,25,0,0,0,0,0,43.605367,-84.1878765,1
0,0,0,0,1,0,0,20,0,0,0,0,0,0,43.5084599,-83.9721525,1
0,3,0,0,0,0,1,0,5,0,0,0,0,0,42.2761622,-84.4540489,1
0,1,0,0,1,0,0,14,3,0,0,0,0,0,42.6399142,-84.5238084,1
0,2,0,2,0,0,0,0,1,0,0,0,0,0,43.8382163,-84.7682301,1
0,1,0,0,1,0,0,10,0,0,0,0,0,0,42.5539698,-82.9109273,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.5722842,-82.9106119,1
0,0,0,0,0,0,0,73,1,0,0,0,0,0,42.5833621,-82.9511407,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.571994,-82.8720305,1
0,0,0,0,0,0,0,74,0,0,0,0,0,0,42.5980628,-82.9714463,1
0,0,0,0,0,0,1,10,1,0,0,0,0,0,42.5547183,-82.9295325,1
0,25,3,0,3,0,0,294,9,0,0,0,0,0,42.73167,-84.4716661,1
0,4,0,0,0,0,0,1,0,0,0,0,0,0,42.8349682,-84.2201346,1
0,20,3,0,3,0,0,312,6,0,0,0,0,0,42.7361267,-84.4824555,1
0,11,0,0,0,1,0,11,18,0,0,0,0,0,42.6833338,-84.4317314,1
