County,Position,Place ID,Title,Link,Rating,Reviews Count,Categories,Price,Phone,Snippet,Thumbnail
Alcona County,1,w1_yC-CSBpUotBIZ4CGhfQ,Rogers Family Foods,https://www.yelp.com/biz/rogers-family-foods-hale?osq=supermarket,4.3,9,"Donuts, Bakeries, Grocery",$$,(989) 728-2711,"I love small town supermarkets and that's what this place is. Very clean, friendly staff, and it...",https://s3-media0.fl.yelpcdn.com/bphoto/OIWwfzZ73yTDE422Fvpflw/348s.jpg
Alcona County,2,G6t7Sp6Jwg-jeYlApC9c3Q,Family Fare Supermarket,https://www.yelp.com/biz/family-fare-supermarket-lewiston-lewiston-2?osq=supermarket,4.2,5,Grocery,$$,(989) 786-4519,We enjoy having such a home town store with great selection of fresh produce and friendly faces.,https://s3-media0.fl.yelpcdn.com/bphoto/PEG1X7zqMNQTtJ0bKIPagw/348s.jpg
Alcona County,3,8UYy3QtlZYG6Dx2SNSU1qQ,Neiman’s Family Market,https://www.yelp.com/biz/neimans-family-market-tawas-city?osq=supermarket,4.3,15,"Grocery, Bakeries, Meat Shops",$$,(989) 362-9180,Great little grocery store. Best variety of specialty foods in town. The store is always clean and...,https://s3-media0.fl.yelpcdn.com/bphoto/sOilRlFH-8YQG0e9yuVVAQ/348s.jpg
Alcona County,4,g4yJXVLFghKFlbTXJbTamg,Country Corners,https://www.yelp.com/biz/country-corners-mio?osq=supermarket,4.5,2,Grocery,$$,(989) 826-6063,You will NEVER pay the prices for supermarket spices again. They also have a section with scratch...,https://s3-media0.fl.yelpcdn.com/bphoto/XHj5CIoU1y7-guVgXOeybA/348s.jpg
Alcona County,5,V_MR-pINpcCEVyljmMNDcg,Meijer,https://www.yelp.com/biz/meijer-alpena?osq=supermarket,4.9,9,"Department Stores, Grocery, Bakeries",$$,(989) 884-6100,"a function that requires cake, I would be let down after hearing that it was from the supermarket.",https://s3-media0.fl.yelpcdn.com/bphoto/6HXeWMxA9pxi4axAQO6otA/348s.jpg
Alcona County,6,Gqye2BHBp-hVg2-Woz-rZg,Family Fare Supermarkets,https://www.yelp.com/biz/family-fare-supermarket-mio-2?osq=supermarket,4.5,2,Grocery,$$,(989) 826-3614,"conventional, but all the basics you'd expect in a well stocked grocery store are there.",https://s3-media0.fl.yelpcdn.com/bphoto/QwpYMA3kS2HH6T_3bMSKfg/348s.jpg
Alcona County,7,qXQHYsw1x05SMRYKsHV8Tw,Family Fare Supermarket,https://www.yelp.com/biz/family-fare-supermarket-oscoda-3?osq=supermarket,1.8,16,Grocery,$$$,(989) 739-0090,"The other local grocery store - Louie's Fresh Market - isn't much better for produce, but I did find...",https://s3-media0.fl.yelpcdn.com/bphoto/1KKF84Rw1KVu3wMDz5lJIA/348s.jpg
Alcona County,8,EPVVsNyzgFfngXqx2S6Pvw,Family Fare Supermarket,https://www.yelp.com/biz/family-fare-supermarket-rose-city-2?osq=supermarket,1.3,3,Grocery,$$$,(989) 685-2351,Went in yesterday to return some bottles and do my morning grocery shopping and while I was...,https://s3-media0.fl.yelpcdn.com/bphoto/3ca7W4DLSf7e_PLGkvTEyQ/348s.jpg
Alcona County,9,Y6Sil-UvuZBBhIjVzw_ktg,Louie’s Fresh Market,https://www.yelp.com/biz/louies-fresh-market-oscoda?osq=supermarket,4.0,2,Grocery,N/A,(989) 739-7313,"They have a good selection of quality meats, which I personally believe rivals the local supermarket.",https://s3-media0.fl.yelpcdn.com/bphoto/k8czb8IgS_l8CB7nJfA8NA/348s.jpg
Luce County,1,8v5y-HvkDGtgNMWv41e7rg,Jack’s Fresh Market,https://www.yelp.com/biz/jacks-fresh-market-manistique?osq=supermarket,4.3,37,"Grocery, Beer, Wine & Spirits, Delis",$$,(906) 341-8070,Good pasties for a supermarket. This is a great place for a stop if you want a good bite to eat in...,https://s3-media0.fl.yelpcdn.com/bphoto/d3yOVsPU4wkiV8WIwOVxJQ/348s.jpg
