County,Competitor_Rating,Competitor_Review_Count,Meijer_Rating,Meijer_Feedback_Useful,Meijer_Sentiment_Score
Alcona,3.76,63.0,,,
Alger,4.3,37.0,,,
Allegan,3.58,179.0,,,
Alpena,4.42,20.0,4.89,11.0,4.0
Antrim,3.56,149.0,,,
Arenac,3.39,87.0,,,
Baraga,3.8,93.0,,,
Barry,3.81,143.0,,,
Bay,3.65,75.0,3.0,5.0,1.0
Benzie,3.75,168.0,,,
Berrien,3.63,384.0,,,
Branch,3.0,162.0,4.5,4.0,2.0
Calhoun,3.73,321.0,3.2,21.0,0.0
Cass,3.37,259.0,,,
Charlevoix,3.74,199.0,,,
Chippewa,3.92,168.0,,,
Clare,3.33,61.0,,,
Clinton,4.13,400.0,,,
Crawford,3.65,66.0,,,
Delta,4.65,43.0,2.11,9.0,-1.0
Dickinson,4.3,20.0,,,
Eaton,3.85,384.0,2.88,9.0,1.0
Emmet,3.46,165.0,,,
Genesee,4.12,659.0,2.72,34.0,5.0
Gogebic,3.67,44.0,,,
Grand Traverse,3.93,197.0,,,
Hillsdale,2.61,67.0,,,
Houghton,3.8,93.0,,,
Ingham,3.94,390.0,2.3,16.0,0.0
Iosco,3.71,56.0,,,
Jackson,3.67,368.0,2.37,20.0,-4.0
Kalamazoo,3.45,313.0,2.28,67.0,-8.0
Kalkaska,3.65,132.0,,,
Lake,4.18,197.0,,,
Luce,4.3,37.0,,,
Mackinac,3.78,173.0,,,
Macomb,4.02,646.0,2.02,119.0,-16.0
Missaukee,3.55,122.0,,,
Montcalm,3.83,240.0,2.3,8.0,-4.0
Montmorency,3.69,71.0,,,
Newaygo,4.08,448.0,4.0,1.0,3.0
Oakland,3.72,1207.0,2.35,70.0,-11.0
Ogemaw,3.58,60.0,,,
Osceola,3.56,58.0,,,
Oscoda,3.95,68.0,,,
Presque Isle,4.02,185.0,,,
Roscommon,3.61,73.0,,,
Washtenaw,3.5,805.0,2.0,19.0,-10.0
Wayne,4.04,1242.0,2.42,143.0,-4.0
Wexford,3.93,159.0,4.3,4.0,6.0
Huron,,,3.17,6.0,1.0
Ionia,,,3.83,0.0,2.0
Kent,,,2.56,92.0,-10.0
Lenawee,,,3.33,5.0,4.0
Livingston,,,2.13,16.0,-9.0
Marquette,,,4.22,2.0,5.0
Mason,,,2.9,26.0,-1.0
Mecosta,,,2.7,1.0,-2.0
Muskegon,,,2.65,12.0,-3.0
Otsego,,,3.8,9.0,0.0
Ottawa,,,2.7,37.0,0.0
Shiawassee,,,2.33,1.0,0.0
St. Clair,,,3.0,21.0,1.0
