County,Position,Place ID,Title,Link,Rating,Reviews Count,Categories,Price,Phone,Snippet,Thumbnail
Alcona County,1,V_MR-pINpcCEVyljmMNDcg,Meijer,https://www.yelp.com/biz/meijer-alpena?osq=meijer,4.9,9,"Department Stores, Grocery, Bakeries",$$,(989) 884-6100,This is such a nice Meijer! It is very clean well-organized. What really caught my attention was the...,https://s3-media0.fl.yelpcdn.com/bphoto/6HXeWMxA9pxi4axAQO6otA/348s.jpg
Alcona County,2,1loExZ3AxfL-NpO6OC5hpg,Roger’s Family Foods,https://www.yelp.com/biz/rogers-family-foods-oscoda?osq=meijer,3.3,6,Grocery,$$,(989) 569-6304,A relatively small grocery store that shares a retail space with Ace hardware under the same roof...,https://s3-media0.fl.yelpcdn.com/bphoto/DV09-M1t8HIalWZ-RtxtvQ/348s.jpg
Alcona County,3,33AXA94Khci_7AihzKm3Dg,Perch’s IGA Foodstore,https://www.yelp.com/biz/perchs-iga-foodstore-alpena?osq=meijer,4.6,5,"Grocery, Beer, Wine & Spirits",$$,(989) 354-4012,It's there and the size is great! Better than you're average Meijer or Walmart produce.,https://s3-media0.fl.yelpcdn.com/bphoto/eHyBjNv2nPbAnqBiq4STdA/348s.jpg
Alcona County,4,xp8f204VvaIcyIYwkD7d7w,Walmart Supercenter,https://www.yelp.com/biz/walmart-supercenter-alpena?osq=meijer,3.1,9,"Department Stores, Grocery",$,(989) 354-0830,They are always moving stuff around so you can never find anything. This is why I go to meijer.,https://s3-media0.fl.yelpcdn.com/bphoto/9-sy6R9gW40wGv68cKBZRA/348s.jpg
Alcona County,5,4W4ztkxkE7RHuICf2cIYKg,Mr. Ed’s IGA,https://www.yelp.com/biz/mr-eds-iga-ossineke?osq=meijer,1.3,3,Grocery,N/A,(989) 471-2360,I just heard today that the owners go into Neimans and Meijer when a sale is going on and try and...,https://s3-media0.fl.yelpcdn.com/bphoto/3hT7rHZtX7AElQ2pCz-l2w/348s.jpg
Alcona County,6,bnUAZxutIuBmQ5rOamSDxg,Hubbard Lake General Store,https://www.yelp.com/biz/hubbard-lake-general-store-hubbard-lake?osq=meijer,5.0,1,Grocery,N/A,(989) 727-3591,Great store that has almost all Your needs plus they support local farms and butcher their own steaks. I always go to see what new HL sweatshirts they have!,https://s3-media0.fl.yelpcdn.com/assets/srv0/yelp_styleguide/ec91c6e75078/assets/img/default_avatars/business_medium_square.png
Alcona County,7,tYNs7CrCBsVAn0VSvNJYDA,Nedo’s Farm Market,https://www.yelp.com/biz/nedos-farm-market-mikado?osq=meijer,5.0,1,"Grocery, Fruits & Veggies, Beer, Wine & Spirits",N/A,(989) 736-6649,"Groceries, and household items, hardware store items and animal feed.",https://s3-media0.fl.yelpcdn.com/bphoto/UOE0kU2QlGFCgG0_kKhA5Q/348s.jpg
Alcona County,8,k-cMnjsg9Jzt1viMVfTegA,Mikado Market,https://www.yelp.com/biz/mikado-market-mikado?osq=meijer,5.0,2,Grocery,N/A,(989) 736-3066,Pizza is best around and awesome lunch specials and best bacon in Michigan double smoked,https://s3-media0.fl.yelpcdn.com/bphoto/mLoN_JDxLK8G-9w3ZOGzTQ/348s.jpg
Alcona County,9,raCSSxlg85pP0xbGDyyvgw,Roger’s Iga,https://www.yelp.com/biz/rogers-iga-glennie?osq=meijer,3.0,1,Grocery,$$,(989) 735-3361,Very large selection for a very small town. The people that work here are very friendly and everybody knows each other. Our family camps at Alcona Park once a…,https://s3-media0.fl.yelpcdn.com/bphoto/_NRxqhLKz0obUo8_k5e8Ag/348s.jpg
Alcona County,10,w1_yC-CSBpUotBIZ4CGhfQ,Rogers Family Foods,https://www.yelp.com/biz/rogers-family-foods-hale?osq=meijer,4.3,9,"Donuts, Bakeries, Grocery",$$,(989) 728-2711,Great small town full service grocery store. Store staff was very friendly and helpful.,https://s3-media0.fl.yelpcdn.com/bphoto/OIWwfzZ73yTDE422Fvpflw/348s.jpg
