Place ID,User Name,User ID,User Link,User Thumbnail,User Address,User Photos Count,User Reviews Count,Review Text,Review Language,Review Date,Rating,Feedback Useful,Feedback Funny,Feedback Cool
meijer-adrian,Jim I.,FbUIGS0Q1Eqm-sCS95BXvg,https://www.yelp.com/user_details?userid=FbUIGS0Q1Eqm-sCS95BXvg,https://s3-media0.fl.yelpcdn.com/photo/bKkBqhNNMuN7TnKNwwXmSw/60s.jpg,"MI, MI",4211,312,"I like the remodel except for a couple of things.... Number 1 ...some of the aisles have been moved closer together to where as two carts cannot fit side by side allowing inconsiderate people to block an entire aisle and you know the world is full of inconsiderate people. Number 2.... increased number of self checkouts decreased number of human checkouts. I am not using a self-checkout and putting a human out of a job. But for those of you that have no problem with that,  I hope they come for your job next. But at the end of the day even if this store sucked I would use it over that trashy Walmart any day.",en,7/22/2021,4,N/A,1,1
meijer-adrian,Michael C.,Qm9fQHHWGiCL_LdI-nvShA,https://www.yelp.com/user_details?userid=Qm9fQHHWGiCL_LdI-nvShA,https://s3-media0.fl.yelpcdn.com/photo/vh29d4eufpnZm3xk6xnbrA/60s.jpg,"Tecumseh, MI",N/A,20,It's amazing they Cashiers ask a 65 year old for ID to buy alcohol. Should I insist the cashier show me their ID so I know they are old enough to sell alcohol ? BTW this is the only Meijer I have been to that does this. Funny they seem to be able to enforce ID checks for alcohol but not wearing masks in their store. Fred Meijer can stick my ID up where the sun doesn't shine.,en,4/2/2021,1,N/A,1,N/A
meijer-adrian,Sabrina L.,C0rgUScRvoWq46y21RS4Dw,https://www.yelp.com/user_details?userid=C0rgUScRvoWq46y21RS4Dw,https://s3-media0.fl.yelpcdn.com/photo/lcsP0VFOF9ws0WpUL_ET5A/60s.jpg,"Adrian, MI",16,17,"Not a friendly place to shop. Cashiers are rude, management is rude, no greetings when you walk in the store. Had an entire row or items under a tag that said $10/$10 and wouldn't give it to us for that price. If your stockers can't stick right that's not my problem.Learn to serve your customers better.",en,10/8/2018,2,N/A,1,N/A
meijer-adrian,Mr. P.,hoBXFhaQ48qcQVasAraRvg,https://www.yelp.com/user_details?userid=hoBXFhaQ48qcQVasAraRvg,https://s3-media0.fl.yelpcdn.com/photo/UCgnxdZoaIWYoFfz_T9ISA/60s.jpg,"Sterling Heights, MI",74,62,"Not bad at all when it comes to Meijers. This where I did my shopping when I went to Siena Heights University. It's a clean, organized place and you really don't have to wait very long in line usually.",en,7/16/2014,4,2,N/A,N/A
meijer-adrian,Angela D.,DrJNE2ZHNzTU_Txk2gc9xw,https://www.yelp.com/user_details?userid=DrJNE2ZHNzTU_Txk2gc9xw,https://s3-media0.fl.yelpcdn.com/photo/eGkH4NH4uXUj6qf8kZLGeA/60s.jpg,"Adrian, MI",13,118,As one of only two grocery stores in Adrian I choose Meijer because of the produce and the fact that they pay their employees a decent wage.,en,4/29/2013,4,3,4,1
meijer-adrian,Bruce S.,tGtnagbrkIKXfV7gDNRfOw,https://www.yelp.com/user_details?userid=tGtnagbrkIKXfV7gDNRfOw,https://s3-media0.fl.yelpcdn.com/assets/srv0/yelp_styleguide/514f6997a318/assets/img/default_avatars/user_60_square.png,"Adrian, MI",N/A,8,I've been back to Meijer several times. The balloons are all gone. It's a great place to shop.,en,12/30/2016,5,N/A,N/A,1
meijer-alpena,Mic B.,rKIOFkkY1hAQhCNYimqg1A,https://www.yelp.com/user_details?userid=rKIOFkkY1hAQhCNYimqg1A,https://s3-media0.fl.yelpcdn.com/photo/9C45-exy5ZCxv2Y4dZW-mA/60s.jpg,"Au Sable, MI",23,41,"Love this company. Moved back up north from Florida and miss the Publix stores; Meijer eases the pain. We can get many of our vegan choices that our local Oscoda and Tawas stores just do not carry,nor do they care to. It is worth the drive to shop in a neat, clean well run operation Thank you Meijer",en,1/20/2022,5,N/A,N/A,N/A
meijer-alpena,Mina S.,cff0cU7TniLvipWsYZt8fA,https://www.yelp.com/user_details?userid=cff0cU7TniLvipWsYZt8fA,https://s3-media0.fl.yelpcdn.com/photo/1mZncduUbadnJZwVqxMe1A/60s.jpg,"Saginaw, MI",610,1147,"This is such a nice Meijer! It is very clean well-organized. What really caught my attention was the bakery area. They have a lot of products that I haven't seen at other locations. Normally when there is a function that requires cake, I would be let down after hearing that it was from the supermarket. But after seeing some of what was offered here, I wouldn't be offended at all if it was from this store. They also have nice-looking donuts and buns.",en,3/10/2018,5,2,N/A,N/A
meijer-alpena,Michael S.,TdRoegolE5NV5hYJrILShQ,https://www.yelp.com/user_details?userid=TdRoegolE5NV5hYJrILShQ,https://s3-media0.fl.yelpcdn.com/photo/5Ra5uz9SsOYibdWHYa6Ohw/60s.jpg,"Saginaw, MI",4,99,"Brand new location, naturally everything is fresh and clean. Noticeably greater selection of merchandise compared to most Meijer stores downstate, which is a plus when you have a Walmart Supercenter across the street.The customer service ranged from surprisingly excellent, with associates in the area taking the time to stop and ask if you were finding everything okay, to less-than-stellar with scattered attention when checkout lines back up.Overall, a great addition to Alpena's growing shopping experience.",en,5/10/2015,5,3,1,1
meijer-alpena,Arnie S.,wxSHxdFbwLXqPUq9Rr-O4w,https://www.yelp.com/user_details?userid=wxSHxdFbwLXqPUq9Rr-O4w,https://s3-media0.fl.yelpcdn.com/photo/8sQpmtGBrD8fWZL60MToEA/60s.jpg,"Alpena, MI",N/A,2,"This review is for Meijer Optical. Employee, Carrie, was unbelievably professional, friendly and helpful. Had issues with a defective frame and she went above and beyond to get me a new frame. While waiting for the new frame to come in, I was going to use an older pair of glasses as a backup, but could not find them. She agreed to give me back the defective pair to get me by until the new ones came in. She could not have been more patient and honest. If I were opening a new business, any business, I would hire this woman. This kind of work ethic and treatment of customers is becoming more rare every day.",en,3/21/2018,5,N/A,N/A,N/A
